Iterations, Opt Fitness
444, 0.698037
445, 0.698037
446, 0.698037
447, 0.698013
448, 0.697803
449, 0.697764
450, 0.697608
451, 0.697552
452, 0.697552
453, 0.697543
454, 0.697543
455, 0.697543
456, 0.697543
457, 0.697543
458, 0.697543
459, 0.697543
460, 0.697543
461, 0.697543
462, 0.697543
463, 0.697512
464, 0.697467
465, 0.697467
466, 0.697399
467, 0.697358
468, 0.697229
469, 0.697168
470, 0.696903
471, 0.696903
472, 0.696903
473, 0.696903
474, 0.696903
475, 0.696903
476, 0.696903
477, 0.696903
478, 0.696903
479, 0.696903
480, 0.696903
481, 0.696720
482, 0.696678
483, 0.696678
484, 0.696678
485, 0.696678
486, 0.696678
487, 0.696595
488, 0.696553
489, 0.696449
490, 0.696378
491, 0.696361
492, 0.696361
493, 0.696261
494, 0.696261
495, 0.696166
496, 0.696166
497, 0.696166
498, 0.696166
499, 0.696166
500, 0.696166
501, 0.696166
502, 0.696166
503, 0.696166
504, 0.696166
505, 0.696166
506, 0.696159
507, 0.696041
508, 0.696013
509, 0.695948
510, 0.695788
511, 0.695541
512, 0.695541
513, 0.695339
514, 0.695301
515, 0.695301
516, 0.695233
517, 0.695137
518, 0.695069
519, 0.695069
520, 0.695025
521, 0.694743
522, 0.694743
523, 0.694743
524, 0.694743
525, 0.694743
526, 0.694743
527, 0.694743
528, 0.694743
529, 0.694743
530, 0.694743
531, 0.694743
532, 0.694695
533, 0.694608
534, 0.694494
535, 0.694458
536, 0.694458
537, 0.694458
538, 0.694356
539, 0.694249
540, 0.694234
541, 0.694131
542, 0.694131
543, 0.694131
544, 0.694131
545, 0.694131
546, 0.694131
547, 0.694131
548, 0.694131
549, 0.694131
550, 0.694028
551, 0.694028
552, 0.693987
553, 0.693987
554, 0.693987
555, 0.693868
556, 0.693842
557, 0.693842
558, 0.693788
559, 0.693679
560, 0.693679
561, 0.693679
562, 0.693679
563, 0.693679
564, 0.693605
565, 0.693605
566, 0.693605
567, 0.693605
568, 0.693605
569, 0.693550
570, 0.693347
571, 0.693321
572, 0.693165
573, 0.693107
574, 0.692999
575, 0.692999
576, 0.692999
577, 0.692999
578, 0.692999
579, 0.692891
580, 0.692891
581, 0.692796
582, 0.692774
583, 0.692774
584, 0.692774
585, 0.692774
586, 0.692774
587, 0.692774
588, 0.692577
589, 0.692562
590, 0.692562
591, 0.692555
592, 0.692389
593, 0.692389
594, 0.692389
595, 0.692389
596, 0.692327
597, 0.692280
598, 0.692280
599, 0.692240
600, 0.692077
601, 0.691837
602, 0.691837
603, 0.691837
604, 0.691837
605, 0.691837
606, 0.691837
607, 0.691837
608, 0.691837
609, 0.691837
610, 0.691837
611, 0.691837
612, 0.691837
613, 0.691837
614, 0.691837
615, 0.691837
616, 0.691837
617, 0.691837
618, 0.691837
619, 0.691837
620, 0.691837
621, 0.691837
622, 0.691837
623, 0.691837
624, 0.691837
625, 0.691837
626, 0.691837
627, 0.691837
628, 0.691837
629, 0.691837
630, 0.691837
631, 0.691837
632, 0.691837
633, 0.691837
